ITEM_NO,lot_number,ORDER_NUMBER,TEST_TIME,EQUIPMENT_CODE,LINE_CODE,ATTRIBUTE_VALUE,PM,ISC,IPM,VOC,VPM,FF,EFF,RS,RSH,AMBIENTTEMP,SENSORTEMP,COEF_PMAX,COEF_ISC,COEF_IMAX,COEF_VOC,COEF_VMAX,COEF_FF,DEC_CTM,ATTR_1,PS_CODE,PS_ITEM_NO,PM_NAME,PS_SUBCODE,IS_DEFAULT,IS_PRINT,PRINT_TIME,PRINT_COUNT,CALIBRATE_TIME,CALIBRATION_NO,CellSUPPLIER,GlassSUPPLIER,EVASUPPLIER,BackplaneSUPPLIER,HLTSUPPLIER,
26,422112I6101750,1MO-17542B-GNKC-02,2017-10-13 0:03:21,MBTST-IVT03,102B-C,EMCY2008,325.9524,9.1196,8.6194,46.2226,37.8159,0.7733,0.1991,0.5320,492.2359,25,26.0625,325.9524,9.1196,8.6195,46.2226,37.8159,0.7733,98.43%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:18:51,JZ-P72-1187,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
27,422112I6104497,1MO-17542B-GNKC-01,2017-10-13 0:03:24,MATST-IVT03,102A-C,EMCY1008,324.5099,9.1179,8.6091,46.1119,37.6940,0.7718,0.1672,0.5355,520.8508,26.6,27.625,324.5099,9.1179,8.6091,46.1119,37.6940,0.7718,98.51%,18.8,DFRS72P,2,320W,I2,是,否,null,0,2017-10-12 23:42:16,JZ-P72-0983-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
28,1251820110719,1MO-17090039,2017-10-13 0:03:32,MATST-IVT01,102A-A,null,302.5381,9.9667,9.4104,39.6224,32.1494,0.7661,0.1559,0.4458,395.6478,25.8,26.9375,302.5400,9.9667,9.4104,39.6224,32.1494,0.7661,97.74%,21.30,JK60M,2,300W,α,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
29,422112I6102653,1MO-17542B-GNKC-02,2017-10-13 0:03:48,MBTST-IVT01,102B-A,EMCY2003,324.1472,9.1278,8.6251,46.0882,37.5817,0.7705,0.1671,0.5508,313.7007,25.3,25.8125,324.1472,9.1278,8.6251,46.0882,37.5817,0.7705,98.40%,18.8,DFRS72P,2,320W,I2,是,否,null,0,2017-10-12 23:47:26,JZ-P72-5107-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
30,422112I6102653,1MO-17542B-GNKC-02,2017-10-13 0:03:48,MBTST-IVT01,102B-A,EMCY2003,324.1472,9.1278,8.6251,46.0882,37.5817,0.7705,0.1671,0.5508,313.7007,25.3,25.8125,324.1472,9.1278,8.6251,46.0882,37.5817,0.7705,98.40%,18.8,DFRS72P,2,320W,I2,是,否,null,0,2017-10-12 23:47:26,JZ-P72-5107-3,晋能清洁能源科技有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
31,422112I6102330,1MO-17542B-GNKC-02,2017-10-13 0:03:50,MBTST-IVT02,102B-B,EMCY2007,325.5844,9.1546,8.6010,46.2199,37.8541,0.7695,0.1678,0.5443,306.3011,25.4,26.0625,325.5844,9.1546,8.6010,46.2199,37.8541,0.7695,98.32%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:14:28,JZ-P72-5107,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
32,1251820110714,1MO-17090039,2017-10-13 0:04:02,MATST-IVT01,102A-A,EMCY1003,303.6794,9.9120,9.4126,39.6170,32.2632,0.7733,0.1565,0.4295,428.4132,26,26.9375,303.6800,9.9120,9.4126,39.6170,32.2632,0.7733,98.11%,21.30,JK60M,2,300W,α,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
33,422112I6102337,1MO-17542B-GNKC-02,2017-10-13 0:04:26,MBTST-IVT02,102B-B,EMCY2005,325.9318,9.1617,8.6409,46.2311,37.7195,0.7695,0.1680,0.5424,473.0179,25.6,26.125,325.9318,9.1617,8.6409,46.2311,37.7195,0.7695,98.42%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:14:28,JZ-P72-5107,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
34,422112I6101773,1MO-17542B-GNKC-02,2017-10-13 0:04:28,MBTST-IVT03,102B-C,EMCY2008,325.1860,9.1115,8.6108,46.2600,37.7651,0.7715,0.1987,0.5482,452.1789,24.9,26.0625,325.1860,9.1115,8.6108,46.2600,37.7651,0.7715,98.19%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:18:51,JZ-P72-1187,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
35,422112I6102741,1MO-17542B-GNKC-02,2017-10-13 0:04:32,MBTST-IVT01,102B-A,EMCY2003,325.0553,9.1299,8.6248,46.1225,37.6884,0.7719,0.1675,0.5455,483.0010,25.4,25.8125,325.0553,9.1299,8.6248,46.1225,37.6884,0.7719,98.68%,18.8,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 23:47:26,JZ-P72-5107-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
